"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"21.05.2023 16:08:27"
"Gesucht nach";"A 1755"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"9"              
"Anzahl gefundener Vorkommen";"23"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Jursa 1997 Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery Iraq 59.pdf";" <xref ref-type=""transliteration"" rid=""trans3"" ptype=""t4200441"" citart=""citart1"">Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery</xref> ";"2";"(Nr. 32 A.1755 (Nr. 4) A.1756 (Nr. 19 A."
"Jursa 1997 Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery Iraq 59.pdf";" <xref ref-type=""transliteration"" rid=""trans3"" ptype=""t4200441"" citart=""citart1"">Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery</xref> ";"2";"Nr. 32) 1982.A.1755 (Nr. 4) 1982.A.1756 (Nr. 19) "
"Jursa 1997 Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery Iraq 59.pdf";" <xref ref-type=""transliteration"" rid=""trans3"" ptype=""t4200441"" citart=""citart1"">Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery</xref> ";"3";"4 1982.A.A.1755 l755 Nr. 25 25 1982.A. A.1774 l774 "
"Jursa 1997 Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery Iraq 59.pdf";" <xref ref-type=""transliteration"" rid=""trans3"" ptype=""t4200441"" citart=""citart1"">Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery</xref> ";"7";"Nr.4 1982.A.1755 erhalten 4, I x 2,6 cm Nr? 1982.A."
"Jursa 1997 Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery Iraq 59.pdf";" <xref ref-type=""transliteration"" rid=""trans3"" ptype=""t4200441"" citart=""citart1"">Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery</xref> ";"7";"cm Nr? 1982.A.1755 erhalten 4,1 ? 2,6 cm (mindestens etwa 4 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"MAD 2. Old Akkadian Writing and Grammar I. J. Gelb., 1952.pdf";"Untitled";"240";"A, 2 i A 1755'MA1931, 6A I I A 7796) 2' A'19 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"MAD 2. Old Akkadian Writing and Grammar I. J. Gelb., 1952.pdf";"Untitled";"240";"A, 2 i A 1755'MA1931, 6A I I A 7796) 2' A'19 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"KeiBi 43 1981.pdf";"";"61";"Herrmann W.: 868 A.: 1755 Heubeck A.: Heubeck E.: 749 445 Hibbert P.: 1426 "
